"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","121","TC_18 [Vietnamese] - Verify Profile header Login/Signup button remains visible and functional on Account tab","Profile Page (Vietnamese)","2026-09-02","passed","2026-09-02","","4. Account Tab","",""
"","1074","TC_08 [English] - Marketing opt-out / unsubscribe wording is present","Privacy Policy (English)","2026-09-02","passed","2026-09-02","","","",""
"","25719","TC_36 [English] — Language (English) persists consistently across all steps of the journey","E2E Journey [English]","2026-09-02","broken","2026-09-02","","","",""
"","1153","TC_10 [English] — A valid name is accepted","Blue Moon — Signup Details Page (English)","2026-09-02","passed","2026-09-02","","","",""
"","1873","TC29 [English] — Account, Preferences and Community sections are present and navigable","Smoke Suite [English]","2026-09-02","passed","2026-09-02","","","",""
"","2801","TC_32 [Vietnamese] - Verify Overview and Matches tabs display content on Club Friendly Games 2026 page","Tournament Pages [Vietnamese]","2026-09-02","passed","2026-09-02","","Club Friendly Games 2026 [Vietnamese]","",""
"","2603","TC_53 [English] - Verify the Beat SFC section is NOT displayed on Settings > Account tab for a logged-out user","Beat SFC [English]","2026-09-02","passed","2026-09-02","","Settings - Account Tab - Beat SFC Section (Guest) [English]","",""
"","5042","TC_05 [Vietnamese] — Inline validation error is shown when Sign Up is clicked with an empty phone number field","Details Page [Vietnamese]","2026-09-02","passed","2026-09-02","","","",""
"","1696","TC_08 [English] - Verify all four feature cards are displayed","Landing Page Validation (English)","2026-09-02","passed","2026-09-02","","","",""
"","209","TC_07 [Vietnamese] - Verify all four tabs are displayed and Overview is active by default","Upcoming Match Details Page [Vietnamese]","2026-09-02","passed","2026-09-02","","3. Match Detail Tabs [Vietnamese]","",""
"","2860","TC_45 [English] - Verify Profile page URL is correct after navigating away to Dashboard and returning","Profile Page (English)","2026-09-02","passed","2026-09-02","","9. Tab Switching","",""
"","222","TC_36 [Vietnamese] - Verify standings shows a team name for each of at least 4 teams","Upcoming Match Details Page [Vietnamese]","2026-09-02","passed","2026-09-02","","8. Rankings Tab [Vietnamese]","",""
"","7080","TC_30 [English] - Verify the Competitions list remains reachable when scrolled","Team Details Page [English]","2026-09-02","passed","2026-09-02","","5. Competitions [English]","",""
"","3196","TC_04 [English] - Verify Dashboard Filters are displayed","Dashboard Validation (English)","2026-09-02","passed","2026-09-02","","","",""
"","69","TC_05 [Vietnamese] - Verify Full Time (FT/KT) status indicator is shown in match header","Recent Match Details Page [Vietnamese]","2026-09-02","passed","2026-09-02","","2. Match Header [Vietnamese]","",""
"","2899","TC_02 [English] - Verify Overview and Matches tabs display content on Canadian Premier League 2026 page","Tournament Pages [English]","2026-09-02","passed","2026-09-02","","Canadian Premier League 2026 [English]","",""
"","4669","TC_02 [English] - Verify Back button navigates user back to the Dashboard","Recent Match Details Page [English]","2026-09-02","passed","2026-09-02","","1. Navigation [English]","",""
"","2877","TC_40 [Vietnamese] - Verify clicking Telegram row redirects to the Telegram channel in a new tab","Profile Page (Vietnamese)","2026-09-02","passed","2026-09-02","","8. Community Tab – Social Redirections","",""
"","1485","TC_14 [English] - Verify Prediction card with Argentina and France data is displayed","Landing Page Validation (English)","2026-09-02","passed","2026-09-02","","","",""
"","3615","TC_19 [Vietnamese] - Verify clicking an Upcoming match card navigates to the match detail page","Dashboard Validation (Vietnamese)","2026-09-02","passed","2026-09-02","","","",""
"","3700","TC_20 [Vietnamese] - Verify clicking the Login/Signup button redirects the user to the Login/Signup page","Dashboard Validation (Vietnamese)","2026-09-02","passed","2026-09-02","","","",""
"","3185","TC_09 [English] - Verify View All option is displayed in the Recent Results section and user is redirected to the Recent Results page after clicking it","Dashboard Validation (English)","2026-09-02","passed","2026-09-02","","","",""
"","24595","TC_21 [Vietnamese] — Profile icon > Preferences tab CTA path reaches OTP dispatch","Organic Signup Journey (Vietnamese)","2026-09-02","passed","2026-09-02","","End-to-End Journeys — entry points reach OTP dispatch","",""
"","778","TC_41 [English] — Incorrect OTP shows an error and allows the user to retry","OTP Verification — Wrong-Attempt Tests [English]","2026-09-02","passed","2026-09-02","","","",""
"","1487","TC09 [English] — Guest user can access Dashboard page successfully","Smoke Suite [English]","2026-09-02","passed","2026-09-02","","","",""
"","2790","TC_15 [English] — Continue stays disabled when the T&C checkbox is unchecked, even with valid Name + Mobile","Blue Moon — Signup Details Page (English)","2026-09-02","passed","2026-09-02","","","",""
"","120410","TC_03 [Vietnamese] - Verify header shows team logos, team names, competition name and date/time","Upcoming Match Details Page [Vietnamese]","2026-09-02","broken","2026-09-02","","2. Match Header [Vietnamese]","",""
